word,sentiment_score
aklasan,-2.128317356109619
aklat,0.0
aklatan,0.0
aklatang nagpapahiram,0.0
aklattalaan,0.0
aklimatado,0.0
akma,2.119070291519165
akmain,2.0
akme,1.8440935611724854
akne,0.0
ako,2.104658365249634
ako mismo,0.0
ako na rin,0.0
akompanya,0.0
akompanyador,0.0
akompanyahan,0.0
akompanyamiento,0.0
akompanyante,0.0
akorde,2.130694627761841
akostiks,0.0
akrobat,0.0
akrobata,0.0
akrobatik,0.0
akrobatikoka,0.0
akropobya,0.0
aksaya,-2.1262741088867188
aksayahin,-2.1959123611450195
akselerador,0.0
aksesoriya,0.0
aksesorya,0.0
aksesoryo,0.0
aksidental,-2.2170908451080322
aksidente,-2.1832284927368164
aksis,0.0
aksiyon,0.0
aksiyonista,0.0
aksiyunan,0.0
aksiyunista,0.0
aksyon,0.0
aksyunan,0.0
akta,0.0
aktiba,0.0
aktibabo,2.0
aktibidad,0.0
aktibista,0.0
akting,2.1355831623077393
aktinyum,0.0
aktitud,0.0
akto,0.0
aktor,0.0
aktres,0.0
aktris,2.0
aktuhan,0.0
aktwal,0.0
akuin,2.084458112716675
akusado,0.0
akusasyon,-2.155174970626831
akustika,0.0
akustiks,0.0
akwaryum,0.0
akwatik,0.0
akwatika,0.0
akwatiko,0.0
akwatiks,0.0
akyat,0.0
akyatan,0.0
akyatin,0.0
akyatpanaog,0.0
ala,0.0
alaala,-2.0823147296905518
alab,0.0
alabastro,0.0
alabok,-2.0986087322235107
alabwab,-2.0
alaga,0.0
alagaan,0.0
alagad,0.0
alagad ng batas,0.0
alagain,2.1467647552490234
alagangalaga,0.0
alagata,0.0
alagatain,0.0
alagaw,0.0
alahas,2.0821192264556885
alahero,0.0
alak,0.0
alakalakan,0.0
alakan,0.0
alakbat,0.0
alakbay,0.0
alakbayan,0.0
alakbigas,0.0
alakdan,0.0
alala,-2.1201000213623047
alalad,0.0
alalahanin,0.0
alalaon,0.0
alalaong baga'y,0.0
alalawa,0.0
alalay,2.1231000423431396
alalayan,2.119558811187744
alam na alam,2.0
"alam, alam",0.0
alamaam,-3.0
alamang,-2.1167469024658203
alamat,0.0
alamat (mga ),0.0
alambre,0.0
alambrera,0.0
alamid,0.0
alamin,0.0
alampay,0.0
alampayan,0.0
alan,2.1811604499816895
alangaang,0.0
alangalang,2.1738638877868652
alangalang sa,0.0
alangan,-2.0961403846740723
alanganin,-2.1253693103790283
alangas,-2.0
alangilan,0.0
alap,2.0
alapaap,-3.091536045074463
alapihan,0.0
alapot,-2.0
alarakas,-2.0
alarma,-2.195094108581543
alarmado,-2.0
alas,-2.082566738128662
alasas,0.0
alasuas,-3.0
alat,-3.189955472946167
alatalatan,0.0
alatan,0.0
alatiit,0.0
alatwat,-2.0
alawihaw,0.0
alay,0.0
alayan,0.0
alayay,0.0
alba,-2.054926633834839
albatita,0.0
albay,2.195023775100708
alboroto,-2.139774799346924
albularyo,-2.093451976776123
album,0.0
albumen,0.0
aldaba,0.0
aldabahan,0.0
aldabis,-2.143450975418091
aldabisin,-2.0
ale,0.0
alegasyon,-2.1597142219543457
alegato,0.0
alegoria,0.0
alegoriya,0.0
alegro,2.0
aleman,0.0
alemana,0.0
alemania,0.0
alemanya,0.0
alerdyi,-2.04284405708313
alerdyik,-2.129040479660034
alero,0.0
alerta,2.0
alerto,2.1426990032196045
algodon,0.0
algopobya,0.0
alhebra,0.0
ali,-1.9978035688400269
alibadbad,0.0
alibadbaran,0.0
alibambang,0.0
alibangbang,2.1081151962280273
alibay,-2.2023701667785645
alibugha,-2.0929222106933594
aligando,0.0
aligasin,0.0
alige,-2.0805675983428955
aligi,-2.1410958766937256
aligid,0.0
aligin,0.0
aligutgot,-2.0
alikabok,-2.137402057647705
alikabukin,-2.207981586456299
alikik,2.0
aliktiya,-2.0
aliktya,-2.0
alila,0.0
alilain,2.1733264923095703
alilangkanin,2.0
alilgin,0.0
alilisan,0.0
alilisin,0.0
alimango,0.0
alimapapayaw,0.0
alimasag,0.0
alimbukay,0.0
alimbuyugin,0.0
alimis,0.0
alimpungat,0.0
alimpungatan,-2.182065963745117
alimpuso,0.0
alimpuyo,-3.201059103012085
alimulon,0.0
alimuom,0.0
alimura,-2.197946548461914
alimurahin,-3.294595241546631
alimuwang,0.0
alimwang,0.0
alin,0.0
alin man,0.0
alinagnag,2.0188868045806885
alindog,2.080423355102539
alingaling,-2.0
alingasaw,-2.0606298446655273
alingasngas,-2.1328470706939697
alingawngaw,-2.1053168773651123
alinlangan,-2.1237545013427734
alinma'y hindi,0.0
alinman,0.0
alinsangan,-3.2271533012390137
alinsunod sa/kay,0.0
alinsunuran,0.0
alinsunurin,0.0
alintana,0.0
alintanahin,0.0
alintuntunin,0.0
alinugnog,0.0
alipala,-2.0
alipapa,0.0
aliparo,0.0
alipato,0.0
alipin,-2.0872724056243896
alipinin,-2.1042792797088623
alipip,-2.0
alipores,0.0
alipunga,0.0
alipunya,-2.0
alipusta,-2.1502442359924316
alipustain,-2.17805814743042
alipuyo,-3.0
alirang,-2.0
alis,0.0
alisaga,-2.0559005737304688
alisagsag,-2.0
alisan,0.0
alisan ng laman,0.0
alisan ng mana,0.0
alisangsang,-2.0
alisin,-2.1121020317077637
alisin sa pagkakaimpake,0.0
alisin sa tungkulin,0.0
alisis,-3.0
alisto,2.0905568599700928
alit,-2.1366543769836426
alitan,-2.0980329513549805
alitaptap,0.0
alituntunin,0.0
alituntuningpanloob,0.0
aliw,2.1035778522491455
aliwalas,3.226625442504883
aliwan,0.0
aliwaswas,-2.1639950275421143
aliwin,2.075160503387451
aliwiw,0.0
alkaide,0.0
alkalay,0.0
alkalde,0.0
alkaldesa,0.0
alkali,0.0
alkampor,0.0
alkampurado,0.0
alkansia,0.0
alkansiya,0.0
alkansya,0.0
alkantarilya,0.0
alkawete,0.0
alkayde,-2.0
alkila,0.0
alkilahan,0.0
alkilahin,0.0
alkitran,0.0
alkitranan,-2.0
alkohol,0.0
alkoholik,0.0
alkoholiko,0.0
alkoholismo,0.0
alma,2.132291316986084
almagre,0.0
almanake,0.0
almasen,0.0
almendras,0.0
almete,0.0
almirante,0.0
almires,0.0
almirol,0.0
almirulan,0.0
almohada,0.0
almohadon,2.0
almoneda,2.0
almuhada,0.0
almuhadon,2.0
almuhasa,0.0
almuhasahin,2.0
almuranas,0.0
almusal,0.0
almusalin,0.0
almuwadon,0.0
almuwasa,0.0
almuwasahin,2.0
alo,0.0
alog,-2.008162498474121
alok,0.0
alon,0.0
aloy,0.0
alpa,0.0
alpabeto,0.0
alpas,-2.0733566284179688
alpasan,-2.212914228439331
alpiler,0.0
alpombra,0.0
alpombrahan,0.0
alporhas,0.0
als,0.0
alsa,2.032724380493164
alsahin,0.0
alta,0.0
altapresyon,0.0
altar,0.0
alternatibo,0.0
altitud,0.0
aluan,0.0
alugbati,0.0
alugin,-2.094188928604126
aluin,2.002462863922119
alukin,0.0
alulod,-3.0598204135894775
alulong,0.0
alulos,0.0
alulusan,0.0
alumana,0.0
alumanahin,0.0
alumihit,-2.0
alumina,0.0
aluminum,0.0
aluminyo,0.0
alumna,0.0
alumnay,0.0
alumney,0.0
alumno,0.0
alumpihit,-2.075960397720337
alunalon,0.0
alunan,0.0
alunig,0.0
aluniging kidkid,0.0
alupihan,0.0
alusitha,0.0
alusithain,0.0
aluyan,0.0
alwagi,0.0
alwan,2.181663751602173
alwanan,2.0
alyado,0.0
alyansa,0.0
alyas,0.0
alyen,0.0
am,0.0
ama,0.0
ama ng tahanan,0.0
amaamahan,0.0
amag,0.0
amagin,-3.1408562660217285
amagong,2.1370303630828857
amain,0.0
amak,0.0
amakin,0.0
amang,-2.0525996685028076
amang pangaman,0.0
amangpanguman,0.0
amanos,-2.124727487564087
amapola,0.0
amarilyo,0.0
amas,3.2201147079467773
amasona,0.0
amatista,0.0
amatyur,0.0
amba,-2.137301206588745
ambaan,-2.161292552947998
ambag,2.1281518936157227
ambagan,2.129101276397705
ambasador,0.0
ambi,-2.0956881046295166
ambil,0.0
ambilan,0.0
ambisiyon,2.0
ambisyon,2.138688564300537
ambisyosa,2.144489049911499
ambisyoso,2.1541101932525635
ambon,0.0
ambos,2.226257801055908
ambulansiya,0.0
ambulog,0.0
ambunin,0.0
ambus,-2.168959379196167
ambuwang,0.0
ambwang,0.0
amen,2.125622272491455
amerika,0.0
amerikana,0.0
amerikano,0.0
amerisyum,0.0
amihan,3.0847525596618652
amil,0.0
amilyaramyento,0.0
amin,-2.093305826187134
amina,0.0
aming sarili,0.0
aminin,-2.1257078647613525
amiray,0.0
amirol,0.0
amirulan ang labada,0.0
amis,0.0
amisin,-2.0
amistad,0.0
amnesya,0.0
amnistia,0.0
amnistya,0.0
amo,2.0822596549987793
amok,-2.0826797485351562
amol,-2.0
among,0.0
amonya,0.0
amor,2.067685842514038
amores,2.1074135303497314
amoritis,0.0
amorpropio,0.0
amorpropyo,0.0
amorseko,0.0
amortisasyon,0.0
amos,-2.0304698944091797
amot,3.114938259124756
amoy,-2.121635675430298
amoyamag,-2.0
ampalaya,-2.1353509426116943
ampang,0.0
ampat,0.0
ampatin,0.0
ampaw,3.0918209552764893
ampayer,0.0
ampayr,0.0
ampias,-3.0
ampibyan,0.0
ampil,0.0
ampiteatro,0.0
ampiyas,-3.1586880683898926
ampiyon,0.0
amplipayer,0.0
ampolyas,0.0
ampon,0.0
ampunan,-2.0439584255218506
ampunin,2.0797975063323975
amputasyon,0.0
ampyon,0.0
amuamuin,0.0
amuin,0.0
amuk,-2.0
amuki,0.0
amukiin,0.0
amusal,0.0
amusin,-2.0
amutin,0.0
amuyan,-2.127793312072754
amuyin,-2.0417237281799316
anabyong,0.0
anagag,2.0
anahaw,0.0
anak,-2.1223433017730713
anak na ampon,0.0
anak na babae,0.0
