word,sentiment_score
a,-0.037100665271282196
a.d.,-0.0472586564719677
aalugalog,-2.5
aam,0.0
aangaanga,0.0
aapaapa,0.0
aba,-1.705964207649231
abaa,-2.5
abab,-2.5
abad,-0.046315912157297134
abaga,1.8575996160507202
abahin,0.0
abain,-2.28194522857666
abaka,0.0
abakada,0.0
abakadahin,0.0
abakadhan,0.0
abakal,0.0
abako,0.0
abakáda,0.0
abal,0.0
abala,-1.792885661125183
abalahin,-1.918154001235962
abalangabala,0.0
abaloryo,1.8957600593566895
abalu,0.0
abalwasiyun,0.0
abanderado,0.0
abandonada,-2.5
abandonadodo,-2.5
abandunar,-2.5
abandúnu,0.0
abang,-0.03309865668416023
abangaba,-2.5
abangan,1.8132362365722656
abaniko,0.0
abanikuhan,0.0
abanikuhin,0.0
abano,0.0
abansin,3.25
abansáda,3.25
abante,1.9308900833129883
abante!,0.0
abanti,-2.5
abaníku,2.5
abasto,-0.030681440606713295
abat,-2.0015408992767334
abatan,-1.6531286239624023
abatod,0.0
abay,-3.25
abay (mga ),0.0
abay na babae,0.0
abay na lalaki,2.5
abay na pandangal,0.0
abayabay,0.0
abayan,1.9549537897109985
abdikasyon,0.0
abelyana,0.0
abenida,0.0
abentura,0.0
abenturera,0.0
abentureraro,0.0
abenturero,-0.030611051246523857
abenturosaso,2.5
aberia,-2.5
aberya,-1.8157638311386108
abestrus,0.0
abgaw,0.0
abhak,0.0
abhong,0.0
abhul,0.0
abhung,-3.25
abi,-0.10050507634878159
abiba,3.25
abilay,0.0
abilidad,1.879368543624878
abilyána,0.0
abin,0.0
abinturar,2.5
abintúra,0.0
abir,2.5
abirids,0.0
abirtu,0.0
abiríya,-3.25
abis,-2.408419609069824
abiso,0.0
abisuhan,0.0
abito,0.0
abitsuwelas,0.0
abitsuylas,0.0
abitswelas,2.5
abitu,2.5
abiyun,0.0
abiábi,2.5
abkay,0.0
abla,-3.25
abli,2.3290534019470215
ablihan,-0.037821169942617416
ablihi,0.0
abládu,0.0
ablása,0.0
abnormal,-2.110583782196045
abo,-0.09916223585605621
abog,-2.1043758392333984
abogado,-0.09087353199720383
abogado nga suwitik,0.0
abogado nga tikasan,0.0
abogasia,0.0
abogasya,0.0
abok,-1.7419637441635132
abokado,0.0
